Senyawa,smiles
(+)-Tephropurpurin,Did not work
(+)-Tephrorin A,Did not work
(+)-Tephrorin B,Did not work
(+)-Tephrosone,Did not work
(+)-Tetrandrine,COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34
(+)-Thalrugosine,Did not work
(+)-Toddanol,Did not work
"(+)-trans-p-Mentha-2,8-dien-1-ol",Did not work
(+)-Vincaminine,Did not work
(+)-Vincinine,Did not work
(+)-Wikstromol,Did not work
(+)-Xanthoxylol,Did not work
(+)-Yangambin,Did not work
(+-)-5-Deoxykievitone,CC(C)=CCc1c(O)ccc2C(=O)C(COc12)c3ccc(O)cc3O
(+-)-alpha-Thujene,Did not work
(+-)-Demethylgrossamide,Did not work
(+-)-Grossamide,Did not work
(-)-(E)-Lanceol,Did not work
(-)-11-Methoxyeburnamonine,Did not work
(-)-16-Epivincamine,Did not work
"(-)-2,3-Dihydro-9-O-beta-glucosyloxy-2-isopropenyl-7H-furo[3,2-g][1]benzopyran-7-one",Did not work
(-)-2-Norlimacine,Did not work
(-)-3-O-Acetylspectaline,Did not work
(-)-5'-Methoxyyatein,Did not work
"(-)-7,4'-Dihydroxy-5-methoxyflavanone",COc1cc(O)cc2OC(CC(=O)c12)c3ccc(O)cc3
(-)-7-Hydroxycannabichromane,Did not work
(-)-7-Hydroxyspectaline,Did not work
(-)-7R-Cannabicoumarononic acid A,Did not work
(-)-8-O-Methyloblongine,Did not work
(-)-8-Oxocanadine,Did not work
(-)-8-Oxoisocorypalmine,Did not work
(-)-8-Oxotetrahydropalmatine,Did not work
(-)-8-Oxotetrahydrothalifendine,Did not work
(-)-Alcanfor,CC1(C)C2CCC1(C)C(=O)C2
(-)-alpha-Cadinol,Did not work
(-)-alpha-Costol,Did not work
(-)-Alpinetin,Did not work
(-)-Anabasine,C1CC[C@H](NC1)c2cccnc2
(-)-Anaferine,O=C(C[C@H]1CCCCN1)C[C@H]2CCCCN2
(-)-Anagyrine,O=C1C=CC=C2C3CC(CN12)[C@H]4CCCCN4C3
(-)-Annonaine,C1Cc2cc3OCOc3c4c5ccccc5C[C@@H](N1)c24
(-)-Anolobine,Did not work
(-)-Apparicine,C\C=C/1CN2CC[C@@H]1C(=C)c3[nH]c4ccccc4c3C2
(-)-Arctigenin,COc1cc(C[C@@H]2[C@H](COC2=O)Cc3ccc(OC)c(OC)c3)ccc1O
(-)-Argemonine,COc1cc2C[C@@H]3N(C)[C@@H](Cc4cc(OC)c(OC)cc34)c2cc1OC
(-)-Aristolochene,C[C@@H]1CCCC2=CC[C@H](C[C@@]12C)C(C)=C
(-)-Artemisin,Did not work
(-)-Asimilobine,Did not work
(-)-Balanophonin,Did not work
(-)-beta-Caryophyllene epoxide,CC1(C)CC2C1CCC3(C)OC3CCC2=C
(-)-beta-Curcumene,Did not work
(-)-beta-Sitosterol,CC[C@@H](CC[C@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
(-)-Betonicine,C[N+]1(C)C[C@H](O)C[C@H]1C([O-])=O
(-)-Bidwillon A,Did not work
(-)-Bisnorargemonine,Did not work
(-)-Blumealactone A,Did not work
(-)-Blumealactone B,Did not work
(-)-Blumealactone C,Did not work
(-)-Borneol,CC1(C)C2CCC1(C)C(O)C2
(-)-Calanolide B,CCCC1=CC(=O)Oc2c3[C@@H](O)[C@@H](C)C(C)Oc3c4C=CC(C)(C)Oc4c12
(-)-Camphene,CC1(C)C2CCC(C2)C1=C
(-)-Carene(-)-3-Carene,Did not work
(-)-Carvomenthone,Did not work
(-)-Carvotanacetone,Did not work
(-)-Cherylline,Did not work
(-)-Cubebin,O[C@H]1OC[C@H](Cc2ccc3OCOc3c2)[C@H]1Cc4ccc5OCOc5c4
(-)-Cudraflavone A,Did not work
(-)-Curine,COc1cc2CCN(C)[C@@H]3Cc4ccc(O)c(Oc5cc6[C@@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
(-)-Cycleapeltine,Did not work
(-)-Cycloartocarpin,Did not work
(-)-Cytisine,Did not work
(-)-Deoxypodorhizone,Did not work
(-)-Dihydrocubebin,Did not work
(-)-Echitoveniline,Did not work
(-)-ent-Isolariciresinol,Did not work
(-)-Ephedrine ,CN[C@@H](C)[C@H](O)c1ccccc1
(-)-Epicatechin,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)c(O)c3
(-)-Epicatechin 3-O-gallate,Did not work
(-)-Epicatechin gallate,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c4ccc(O)c(O)c4
(-)-Epigallocatechin  ,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3cc(O)c(O)c(O)c3
(-)-Epigallocatechin gallate,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c4cc(O)c(O)c(O)c4
(-)-Epilamprolobine,Did not work
(-)-epsilon-Viniferin,Oc1ccc(cc1)\C=C\c2cc(O)cc3O[C@H]([C@H](c4cc(O)cc(O)c4)c23)c5ccc(O)cc5
(-)-Flexicorine,Did not work
(-)-Gallocatechin,Did not work
(-)-Germacrene D,CC(C)[C@@H]\1CCC(=C/CCC(=C)/C=C1)/C
(-)-Glyceollin I,CC1(C)Oc2ccc3[C@@H]4Oc5cc(O)ccc5[C@]4(O)COc3c2C=C1
(-)-Glyceollin II,CC1(C)Oc2cc3OC[C@]4(O)[C@@H](Oc5cc(O)ccc45)c3cc2C=C1
(-)-Glycinol,NCCO
(-)-Hibalactone,Did not work
(-)-Isocoreximine,Did not work
(-)-Isocyclocapitelline,Did not work
(-)-Isolonchocarpin,Did not work
(-)-Isomenthone,CC(C)[C@@H]1CC[C@H](C)CC1=O
(-)-Jasmonic acid,CC\C=C/C[C@@H]1[C@H](CCC1=O)CC(O)=O
(-)-Khusol,Did not work
(-)-Kobusone,Did not work
(-)-Kusunokinin,Did not work
(-)-Lariciresinol,Did not work
(-)-Licarin A,Did not work
(-)-Lirioresinol B,Did not work
(-)-Loliolide,Did not work
(-)-Maackiain,Oc1ccc2[C@@H]3Oc4cc5OCOc5cc4[C@@H]3COc2c1
(-)-Malkangunin,Did not work
(-)-Matairesinol,COc1cc(C[C@H]2COC(=O)[C@@H]2Cc3ccc(O)c(OC)c3)ccc1O
(-)-Medicarpin,COc1ccc2[C@@H]3COc4cc(O)ccc4[C@@H]3Oc2c1
(-)-Methylephedrine,Did not work
(-)-Methylpseudoephedrine,Did not work
(-)-Minovincinine,Did not work
(-)-N-Methylcoclaurine,Did not work
(-)-N-Methylcytisine,Did not work
(-)-Norboldine,Did not work
(-)-Norephedrine,C[C@H](N)[C@H](O)c1ccccc1
(-)-Norpleiomutine,Did not work
(-)-Norpseudoephedrine,Did not work
(-)-Oblongine,Did not work
(-)-Olivil,COc1cc(CC2(O)COC(C2CO)c3ccc(O)c(OC)c3)ccc1O
"(-)-p-Menth-1-ene-7,8-diol",CC(C)(O)C1CCC(=CC1)CO
(-)-Palasonin,Did not work
(-)-Pelletierine,Did not work
(-)-Phytuberin,Did not work
(-)-Pinocampheol,Did not work
(-)-Pinoresinol,Did not work
(-)-Pinoresinol 4-O-beta-D-glucopyranoside,Did not work
(-)-Podorhizol,Did not work
(-)-Pseudoephedrine.,Did not work
(-)-R-Linalool,Did not work
(-)-Repandine,Did not work
(-)-Secoisolariciresinol,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O
(-)-Semiglabrin,Did not work
(-)-Sesamin,C1Oc2ccc(cc2O1)[C@@H]3OC[C@@H]4[C@H]3CO[C@H]4c5ccc6OCOc6c5
(-)-Sonchuside E,Did not work
(-)-Sonchuside F,Did not work
(-)-Sonchuside G,Did not work
(-)-Sonchuside H,Did not work
(-)-Sonchuside I,Did not work
(-)-Spectaline,Did not work
(-)-Temuconine,Did not work
(-)-Trachelogenin,COc1cc(C[C@]2(O)[C@H](COC2=O)Cc3ccc(OC)c(OC)c3)ccc1O
(-)-Variabilin,COc1ccc2[C@H]3Oc4cc(OC)ccc4[C@@]3(O)COc2c1
(-)-Viburnitol,O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@@H]1O
(-)-Vincamajine,Did not work
(-)-Vinorine,Did not work
(-)-Xylopine,Did not work
(-)-Zingiberene,CC(CCC=C(C)C)C1CC=C(C)C=C1
(11S)-Jalapinolic acid,CCCCC[C@H](O)CCCCCCCCCC(O)=O
"(12S,13S)-EOD",Did not work
(13'Z)-Capsanthin,Did not work
(13R)-Premarrubiin,Did not work
(13S)-Premarrubiin,Did not work
"(13Z) beta,beta-Carotene",Did not work
(13Z)-Capsanthin,Did not work
"(1R,2R,4R,5S)-(+)-p-Menthane-2,5-diol",CC(C)[C@H]1C[C@@H](O)[C@H](C)C[C@@H]1O
"(1S,2R)-O-Methylnyasicoside",Did not work
"(1S,2R,7aR,13aR)-2,3,13,13a-Tetrahydro-1,2,7a-trihydroxy-9,10-dimethoxy-3,3-dimethyl-1H-bis[1]benzopyrano[3,4-b:6',5'-e]pyran-7(7aH)-one",Did not work
"(1S,4R)-(+)-Isodihydrocarvone",Did not work
"(2-exo,3-endo)-2,3-dimethyl-Bicyclo[2.2.1]heptan-2-ol",Did not work
"(20S,22R)-5beta,6beta-Epoxy-4beta,14beta,15alpha-trihydroxy-1-oxowith-2,24-dienolide",C[C@H]([C@H]1CC(=C(C)C(=O)O1)C)[C@H]2C[C@H](O)[C@]3(O)[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)C4CC[C@]23C
"(22E,24S)-Stigmasta-5,22-dien-3beta,7alpha-diol",CC[C@H](\C=C\[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
"(2E,6S)-Dimethyl-2,7-octadiene-1,6-diol",CC(C)(O)\C=C\CC[C@H](O)C=C
(2R)-Naringenin 8-C-alpha-L-rhamnopyranosyl-(1->2)-beta-D-glucopyranoside,Did not work
"(2R,3R)-3,5,7,3',5'-Pentahydroxyflavanone 3-rhamnoside",Did not work
"(2R,3R)-3,5,8-Trihydroxy-7-methoxyflavanone",COc1cc(O)c2C(=O)[C@H](O)[C@H](Oc2c1O)c3ccccc3
"(2R,3R)-3-Hydroxy-5,7,4'-trimethoxyflavanone",COc1ccc(cc1)[C@H]2Oc3cc(OC)cc(OC)c3C(=O)[C@@H]2O
"(2R,3R)-Nilic acid",Did not work
"(2R,3R)-Taxifolin 3-xyloside",Did not work
"(2R,3S)-3,5,3'-Trihydroxy-7,4'-dimethoxyflavanone",COc1cc(O)c2C(=O)[C@@H](O)[C@H](Oc2c1)c3ccc(OC)c(O)c3
"(2S)-5,3'-Dihydroxy-4'-methoxy-6'',6''-dimethylpyrano[2'',3'':7,8]flavanone",Did not work
"(2S)-5,7,3',4'-Tetrahydroxyflavanone 7-glucuronide",Did not work
"(2S)-5,7-Dimethoxy-3',4'-methylenedioxyflavanone",COc1cc(OC)c2C(=O)C[C@H](Oc2c1)c3ccc4OCOc4c3
"(2S)-7,4'-Dihydroxy-3'-prenylflavan",CC(C)=CCc1cc(ccc1O)[C@@H]2CCc3ccc(O)cc3O2
"(2S)-7,4'-Dihydroxyflavan",Oc1ccc(cc1)[C@@H]2CCc3ccc(O)cc3O2
(2S)-Euchrenone a7,Did not work
(2S)-Naringenin 8-C-alpha-L-rhamnopyranosyl-(1->2)-beta-D-glucopyranoside,Did not work
"(2S,3S)-3,5,7-Trihydroxy-2'-methoxy-6'',6''-dimethylpyrano[2'',3'':4',3']flavanone",Did not work
"(3beta)-28-Norlup-20(29)-ene-3,17-diol",Did not work
"(3beta)-28-Norlup-20(29)-ene-3,17-diol 3-acetate",Did not work
"(3E,5Z,7Z,9E)-Trideca-3,5,7,9-tetraene",CCC/C=C/C=C\C=C/C=C/CC
(3R)-3-Hydroxyretinal,Did not work
(3S)-Sativanone,Did not work
(3S)-Secundiflorol H,Did not work
(3S)-Violanone,Did not work
"(3S,5R,6S)-5,6-Epoxy-5,6-dihydro-3-hydroxy-8'-apo-beta,psi-carotenal",Did not work
"(3S,5R,8S)-5,8-Epoxy-5,8-dihydro-beta,beta-caroten-3-ol",Did not work
"(4aS-trans)-4,4a,5,6,7,8-hexahydro-4a,8-dimethyl-2(3H)-Naphthalenone",C[C@H]1CCC[C@@]2(C)CCC(=O)C=C12
"(5R,5'R,6S,6'S)-5,6:5',6'-Diepoxy-5,5',6,6'-tetrahydro-beta,beta-carotene",Did not work
"(6aR,11aR)-Vesticarpan",Did not work
"(6R,9R)-3-Oxo-alpha-ionyl-9-O-beta-glucopyranoside",Did not work
"(6R,9R)-9-Hydroxy-4-megastigmen-3-one",Did not work
"(6S,7E,9E,11E)-3-Oxo-13-apo-alpha-caroten-13-one",Did not work
"(6S,9R)-Roseoside",Did not work
"(8alpha,11E,13R)-11,14-Labdadiene-8,13-diol",Did not work
"(8alpha,11E,13S)-11,14-Labdadiene-8,13-diol",Did not work
(9'Z)-Capsanthin,Did not work
"(9Z)-beta,beta-Carotene",Did not work
(9Z)-Capsanthin,Did not work
(9Z)-Violaxanthin,Did not work
(Cyanidin 3-O-(3-O-acetyl-beta-glucoside) (kaempferol 3-O-(2-O-beta-glucosyl-beta-glucoside)-7-O-beta-glucosiduronic acid) malonate,Did not work
(Cyanidin 3-O-beta-glucoside)(kaempferol 3-O-(2-O-beta-glucosyl-beta-glucoside)-7-O-beta-glucosiduronic acid) malonate,Did not work
"(E)-4,8-Dimethyl-1,3,7-nonatriene",CC(C)=CCCC(/C)=C/C=C
"(E)-6,10-Dimethyl-9-methylene-5-undecen-2-one",CC(C)C(=C)CCC(/C)=C/CCC(C)=O
(E)-alpha-Citral,Did not work
(E)-alpha-Santalal,Did not work
(E)-beta-Farnesene,CCC(=C)CC\C=C(/C)CCC=C(C)C
(E)-beta-Santalal,Did not work
(E)-Caryophyllene,Did not work
(E)-Ferulic Acid,COc1cc(\C=C\C(O)=O)ccc1O
(E)-Isoferulic Acid ,Did not work
(E)-Ocimene,Did not work
"(E,E)-4,8,12-Trimethyl-1,3,7,11-tridecatetraene",CC(C)=CCC/C(C)=C/CCC(/C)=C/C=C
"(E,E)-Pentadeca-5,7-diene-9,11,13-triyn-2-one",CC#CC#CC#C/C=C/C=C/CCC(C)=O
"(E,E)-Terrestribisamide",Did not work
"(E,Z)-Terrestribisamide",Did not work
(R)-(+)-Carnegine,Did not work
(R)-(-)-Carvone,CC(=C)[C@@H]1CC=C(C)C(=O)C1
(R)-(-)-Mellein,Did not work
(R)-(-)-Xanthorrhizol,Did not work
"(R)-2,4,5-Trimethoxydalbergiquinol",Did not work
"(R)-7-Hydroxy-2',3',4'-trimethoxyisoflavan",COc1ccc([C@@H]2COc3cc(O)ccc3C2)c(OC)c1OC
(R)-beta-Citronellol,C[C@@H](CCO)CCC=C(C)C
(R)-Citronellal,C[C@H](CCC=C(C)C)CC=O
(R)-linalool,CC(C)=CCC[C@@](C)(O)C=C
(s)-(+)-Abscisic acid,CC(/C=C/[C@@]1(O)C(=CC(=O)CC1(C)C)C)=C/C(O)=O
(S)-(+)-Curcumene,Did not work
(S)-(-)-Perilla alcohol,Did not work
(S)-10-Gingerol,Did not work
(S)-4-Methoxydalbergione,Did not work
(S)-6-Gingerol,Did not work
(S)-8-Gingerol,Did not work
(S)-Isoboldine,Did not work
"(Z)-2-Methyl-6-methylene-2,7-octadien-1-ol",C\C(CO)=C\CCC(=C)C=C
(Z)-4-Coumaric acid 4-O-beta-D-glucopyranoside,Did not work
"(Z)-6,7-Epoxyligustilide",Did not work
(Z)-Butylidenephthalide,CCC\C=C1/OC(=O)c2ccccc12
(Z)-Jasmone,CC\C=C/CC1=C(C)CCC1=O
(Z)-Ligustilide,CCC/C=C/1OC(=O)c2ccccc12
(Z)-Ocimene,Did not work
(Z)-Palmitoleic acid,CCCCCC\C=C/CCCCCCCC(O)=O
(Z)-Senegin II,Did not work
"(Z,Z)-Terrestribisamide",Did not work
"(Z,Z,Z)-3,6,9-Dodecatrien-1-ol",CC\C=C/C/C=C\C\C=C/CCO
"(Z,Z,Z)-Octadeca-9,12,15-trienoic acid",CC\C=C/C/C=C\C\C=C/CCCCCCCC(O)=O
(�)-g-Schizandrin,Did not work
1,Did not work
"1,10-Diepi-cubenol",Did not work
"1,2,3,4,6-Penta-O-galloyl-beta-D-glucose",Oc1cc(cc(O)c1O)C(=O)OC[C@H]2O[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](OC(=O)c4cc(O)c(O)c(O)c4)[C@@H](OC(=O)c5cc(O)c(O)c(O)c5)[C@@H]2OC(=O)c6cc(O)c(O)c(O)c6
"1,2-beta-Epoxyambelline",Did not work
"1,2-Dehydro-alpha-cyperone",Did not work
"1,2-Dehydroapateline",Did not work
"1,2-Dihydro-5-hydroxy-2-(1-hydroxy-1-methylethyl)-4-(2-methylbutyryl)-6-phenylfurano[2,3-h][1]benzopyran-8-one",Did not work
"1,2-Dihydro-5-hydroxy-2-(1-hydroxy-1-methylethyl)-4-(3-methylbutyryl)-6-phenylfurano[2,3-h][1]benzopyran-8-one",Did not work
"1,2-Dihydro-5-hydroxy-2-(1-hydroxy-1-methylethyl)-4-(butyryl)-6-phenylfurano[2,3-h][1]benzopyran-8-one",Did not work
"1,2-Dihydro-5-hydroxy-2-(1-hydroxy-1-methylethyl)-4-(isobutyryl)-6-phenylfurano[2,3-h][1]benzopyran-8-one",Did not work
"1,2-Dihydropyridine",C1NC=CC=C1
"1,3,5,6-Tetrahydroxy-2-(3-methylbut-2-enyl)xanthone",CC(C)=CCc1c(O)cc2Oc3c(O)c(O)ccc3C(=O)c2c1O
"1,3,5,6-Tetrahydroxyxanthone",Oc1cc(O)c2C(=O)c3ccc(O)c(O)c3Oc2c1
"1,3,5-Trihydroxy-4,8-di(3-methylbut-2-enyl)-xanthone",CC(C)=CCc1ccc(O)c2Oc3c(CC=C(C)C)c(O)cc(O)c3C(=O)c12
"1,3,5-Trihydroxy-6-methoxyxanthone",COc1ccc2C(=O)c3c(O)cc(O)cc3Oc2c1O
"1,3,6-Trihydroxy-5-methoxyxanthone",COc1c(O)ccc2C(=O)c3c(O)cc(O)cc3Oc12
"1,3,7-Trihydroxyxanthone",Oc1ccc2Oc3cc(O)cc(O)c3C(=O)c2c1
