Senyawa,smiles
(+)-Isomenthone,CC(C)[C@H]1CC[C@@H](C)CC1=O
(+)-Isotrilobine,COc1ccc2CC3N(C)CCc4cc5Oc6c(OC)cc7CCN(C)C(Cc8ccc(Oc1c2)cc8)c7c6Oc5cc34
(+)-Isovalencenol,CC1CCC=C2C1(C/C(=C(\C)/CO)/CC2)C
(+)-Khusitene,CC[C@@H]1CCC(=C)[C@H]2[C@H]1C=C(CC2)C
(+)-Kopsoffine,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)C6=CC7=C(C=C6)NC89C71CCN2C1C(CCC2)(CC8)CC9C(=O)OC
(+)-Lariciresinol,COc1cc(CC2COC(C2CO)c3ccc(O)c(OC)c3)ccc1O
(+)-Ledol,C[C@@H]1CC[C@H]2[C@@H]1[C@H]3[C@@H](CC[C@@]2(C)O)C3(C)C
(+)-Lirioresinol B,COC1=CC(=CC(=C1O)OC)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C(=C4)OC)O)OC
(+)-Lyoniresinol,COC1=CC(=CC(=C1O)OC)[C@@H]2[C@H]([C@@H](CC3=CC(=C(C(=C23)OC)O)OC)CO)CO
(+)-Lyoniresinol 3alpha-O-beta-D-glucopyranoside,COC1=CC(=CC(=C1O)OC)[C@@H]2[C@H]([C@@H](CC3=CC(=C(C(=C23)OC)O)OC)CO)CO[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O
(+)-Marmesin,CC(C)(O)[C@@H]1Cc2cc3C=CC(=O)Oc3cc2O1
(+)-Murrayazoline,CC1=CC2=C3C4=C1OC5(CCC(C4C5)C(N3C6=CC=CC=C62)(C)C)C
(+)-N-Methyllaurotetanine,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC(=C(C=C43)OC)O)OC)OC
(+)-Nornicotine,C1CN[C@H](C1)c2cccnc2
(+)-Phillygenin,COC1=C(C=C(C=C1)[C@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C=C4)O)OC)OC
(+)-Physoperuvine,CN1[C@@H]2CCC[C@]1(CC2)O
(+)-Pinoresinol,COc1cc(ccc1O)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4ccc(O)c(OC)c4
(+)-Piperitol,COC1=C(C=CC(=C1)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC5=C(C=C4)OCO5)O
(+)-Pterocarpol,C[C@@]12CC[C@H](C[C@H]1C(=C)C[C@@H](C2)O)C(C)(C)O
(+)-Quebrachidine,C/C=C\1/CN2[C@H]3CC1C4([C@@H]2CC5([C@@H]4O)C3NC6=CC=CC=C56)C(=O)OC
(+)-Quercitol,O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@H]1O
(+)-Reticuline,COc1ccc(C[C@@H]2N(C)CCc3cc(OC)c(O)cc23)cc1O
(+)-Sabinene,CC(C)[C@]12CCC(=C)[C@H]1C2
(+)-Sesamin,C1Oc2ccc(cc2O1)[C@H]3OC[C@H]4[C@@H]3CO[C@@H]4c5ccc6OCOc6c5
(+)-Sesamolin,C1[C@H]2[C@H](CO[C@@H]2OC3=CC4=C(C=C3)OCO4)[C@H](O1)C5=CC6=C(C=C5)OCO6
(+)-Spathulenol,C[C@@]1(CC[C@@H]2[C@@H]1[C@H]3[C@H](C3(C)C)CCC2=C)O
(+)-Stepharine,COC1=C(C2=C3[C@@H](CC24C=CC(=O)C=C4)NCCC3=C1)OC
(+)-Stephasubine,CN1CCC2=CC(=C3C=C2[C@H]1CC4=CC(=C(C=C4)OC)OC5=CC=C(CC6=NC=CC7=CC(=C(C(=C67)O3)O)OC)C=C5)OC
(+)-Strigol,CC1=C[C@@H](OC1=O)O/C=C/2\[C@H]3CC4=C([C@H]3OC2=O)C(CC[C@@H]4O)(C)C
(+)-Syringaresinol,COc1cc(cc(OC)c1O)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4cc(OC)c(O)c(OC)c4
(+)-Syringaresinol O-beta-D-glucoside,COc1cc(cc(OC)c1O)[C@H]2OC[C@H]3[C@@H]2CO[C@@H]3c4cc(OC)c(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c(OC)c4
(+)-Tephropurpurin,CC(=O)O[C@@H]1[C@@H]2[C@@H](OC3=CC(=C(C(=C23)O)C(=O)/C=C/C4=CC=CC=C4)OC)OC1(C)C
(+)-Tephrorin A,CC(=O)O[C@H]1[C@H]([C@H](OC1(C)C)O)C2=C(C=CC3=C2O[C@@H](CC3=O)C4=CC=CC=C4)OC
(+)-Tephrorin B,CC1([C@H]([C@H](CO1)C2=C(C=CC3=C2O[C@@H](CC3=O)C4=CC=CC=C4)O)OC(=O)/C=C/C5=CC=CC=C5)C
(+)-Tephrosone,CC1([C@H]([C@H]2[C@@H](O1)OC3=C2C(=C(C=C3)C(=O)/C=C/C4=CC=CC=C4)O)O)C
(+)-Tetrandrine,COc1ccc2C[C@@H]3N(C)CCc4cc(OC)c(OC)c(Oc5cc6[C@H](Cc7ccc(Oc1c2)cc7)N(C)CCc6cc5OC)c34
(+)-Thalrugosine,CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)O)OC)OC
(+)-Toddanol,CC(=C)[C@@H](CC1=C(C=C2C(=C1OC)C=CC(=O)O2)OC)O
"(+)-trans-p-Mentha-2,8-dien-1-ol",CC(=C)[C@@H]1CC[C@@](C=C1)(C)O
(+)-Wikstromol,COC1=C(C=CC(=C1)C[C@H]2COC(=O)[C@]2(CC3=CC(=C(C=C3)O)OC)O)O
(+)-Yangambin,COC1=CC(=CC(=C1OC)OC)[C@@H]2[C@H]3CO[C@@H]([C@H]3CO2)C4=CC(=C(C(=C4)OC)OC)OC
(+-)-5-Deoxykievitone,CC(C)=CCc1c(O)ccc2C(=O)C(COc12)c3ccc(O)cc3O
(+-)-Grossamide,COC1=CC(=CC2=C1OC(C2C(=O)NCCC3=CC=C(C=C3)O)C4=CC(=C(C=C4)O)OC)/C=C/C(=O)NCCC5=CC=C(C=C5)O
"(-)-2,3-Dihydro-9-O-beta-glucosyloxy-2-isopropenyl-7H-furo[3,2-g][1]benzopyran-7-one",CC(=C)C1CC2=C(O1)C(=C3C(=C2)C=CC(=O)O3)OC4C(C(C(C(O4)CO)O)O)O
(-)-3-O-Acetylspectaline,C[C@@H]1[C@@H](CC[C@@H](N1)CCCCCCCCCCCCC(=O)C)OC(=O)C
"(-)-7,4'-Dihydroxy-5-methoxyflavanone",COc1cc(O)cc2OC(CC(=O)c12)c3ccc(O)cc3
(-)-8-O-Methyloblongine,C[N+]1(CCC2=C(C1CC3=CC=C(C=C3)O)C(=C(C=C2)OC)OC)C
(-)-8-Oxocanadine,C1CN2C(CC3=C(C2=O)C(=C(C=C3)O)O)C4=CC5=C(C=C41)OCO5
(-)-8-Oxotetrahydropalmatine,C1CN2C(CC3=C(C2=O)C(=C(C=C3)O)O)C4=CC(=C(C=C41)O)O
(-)-Alcanfor,CC1(C)C2CCC1(C)C(=O)C2
(-)-alpha-Cadinol,CC1=C[C@H]2[C@@H](CC[C@@]([C@@H]2CC1)(C)O)C(C)C
(-)-Alpinetin,COC1=CC(=CC2=C1C(=O)C[C@H](O2)C3=CC=CC=C3)O
(-)-Anabasine,C1CC[C@H](NC1)c2cccnc2
(-)-Anaferine,O=C(C[C@H]1CCCCN1)C[C@H]2CCCCN2
(-)-Anagyrine,O=C1C=CC=C2C3CC(CN12)[C@H]4CCCCN4C3
(-)-Annonaine,C1Cc2cc3OCOc3c4c5ccccc5C[C@@H](N1)c24
(-)-Anolobine,C1CN[C@@H]2CC3=C(C=CC(=C3)O)C4=C2C1=CC5=C4OCO5
(-)-Apparicine,C\C=C/1CN2CC[C@@H]1C(=C)c3[nH]c4ccccc4c3C2
(-)-Arctigenin,COc1cc(C[C@@H]2[C@H](COC2=O)Cc3ccc(OC)c(OC)c3)ccc1O
(-)-Argemonine,COc1cc2C[C@@H]3N(C)[C@@H](Cc4cc(OC)c(OC)cc34)c2cc1OC
(-)-Aristolochene,C[C@@H]1CCCC2=CC[C@H](C[C@@]12C)C(C)=C
(-)-Asimilobine,COC1=C(C=C2CCN[C@H]3C2=C1C4=CC=CC=C4C3)O
(-)-Balanophonin,COC1=CC(=CC2=C1O[C@@H]([C@H]2CO)C3=CC(=C(C=C3)O)OC)/C=C/C=O
(-)-beta-Caryophyllene epoxide,CC1(C)CC2C1CCC3(C)OC3CCC2=C
(-)-beta-Curcumene,CC1=CCC(=CC1)[C@H](C)CCC=C(C)C
(-)-beta-Sitosterol,CC[C@@H](CC[C@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
(-)-Betonicine,C[N+]1(C)C[C@H](O)C[C@H]1C([O-])=O
(-)-Blumealactone A,C/C=C(\C)/C(=O)OC1C2C(C(C(CCCC3(C1O3)C)C)O)OC(=O)C2=C
(-)-Blumealactone B,CC1CCCC2(C(O2)C(C3C(C1O)OC(=O)C3=C)OC(=O)C=C(C)C)C
(-)-Blumealactone C,CC1CCCC2(C(O2)C(C3C(C1OC(=O)C)OC(=O)C3=C)O)C
(-)-Borneol,CC1(C)C2CCC1(C)C(O)C2
(-)-Calanolide B,CCCC1=CC(=O)Oc2c3[C@@H](O)[C@@H](C)C(C)Oc3c4C=CC(C)(C)Oc4c12
(-)-Camphene,CC1(C)C2CCC(C2)C1=C
(-)-Carvomenthone,C[C@H]1CC[C@@H](CC1=O)C(C)C
(-)-Carvotanacetone,CC1=CCC(CC1=O)C(C)C
(-)-Cherylline,CN1C[C@H](C2=CC(=C(C=C2C1)O)OC)C3=CC=C(C=C3)O
(-)-Cubebin,O[C@H]1OC[C@H](Cc2ccc3OCOc3c2)[C@H]1Cc4ccc5OCOc5c4
(-)-Cudraflavone A,CC(=CC1C2=C(C3=C(O1)C=C(C=C3)O)OC4=CC5=C(C=CC(O5)(C)C)C(=C4C2=O)O)C
(-)-Curine,COc1cc2CCN(C)[C@@H]3Cc4ccc(O)c(Oc5cc6[C@@H](Cc7ccc(Oc(c1O)c23)cc7)N(C)CCc6cc5OC)c4
(-)-Cycleapeltine,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@H]6C7=CC(=C(C=C7CCN6C)OC)O3)OC)O)OC
(-)-Cycloartocarpin,CC(C)/C=C/C1=C(C=C2C(=C1O)C(=O)C3=C(O2)C4=C(C=C(C=C4)O)OC3C=C(C)C)OC
(-)-Cytisine,C1[C@H]2CNC[C@@H]1C3=CC=CC(=O)N3C2
(-)-Deoxypodorhizone,COC1=CC(=CC(=C1OC)OC)C[C@@H]2[C@H](COC2=O)CC3=CC4=C(C=C3)OCO4
(-)-Dihydrocubebin,C1OC2=C(O1)C=C(C=C2)C[C@@H](CO)[C@@H](CC3=CC4=C(C=C3)OCO4)CO
(-)-Ephedrine ,CN[C@@H](C)[C@H](O)c1ccccc1
(-)-Epicatechin,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3ccc(O)c(O)c3
(-)-Epicatechin 3-O-gallate,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O
(-)-Epicatechin gallate,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c4ccc(O)c(O)c4
(-)-Epigallocatechin  ,O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c3cc(O)c(O)c(O)c3
(-)-Epigallocatechin gallate,Oc1cc(O)c2C[C@@H](OC(=O)c3cc(O)c(O)c(O)c3)[C@H](Oc2c1)c4cc(O)c(O)c(O)c4
(-)-epsilon-Viniferin,Oc1ccc(cc1)\C=C\c2cc(O)cc3O[C@H]([C@H](c4cc(O)cc(O)c4)c23)c5ccc(O)cc5
(-)-Gallocatechin,C1[C@H]([C@@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O
(-)-Germacrene D,CC(C)[C@@H]\1CCC(=C/CCC(=C)/C=C1)/C
(-)-Glyceollin I,CC1(C)Oc2ccc3[C@@H]4Oc5cc(O)ccc5[C@]4(O)COc3c2C=C1
(-)-Glyceollin II,CC1(C)Oc2cc3OC[C@]4(O)[C@@H](Oc5cc(O)ccc45)c3cc2C=C1
(-)-Glycinol,NCCO
(-)-Isolonchocarpin,CC1(C=CC2=C(O1)C=CC3=C2OC(CC3=O)C4=CC=CC=C4)C
(-)-Isomenthone,CC(C)[C@@H]1CC[C@H](C)CC1=O
(-)-Jasmonic acid,CC\C=C/C[C@@H]1[C@H](CCC1=O)CC(O)=O
(-)-Kobusone,CC1(CC2C1CCC3(C(O3)CCC2=O)C)C
(-)-Kusunokinin,COC1=C(C=C(C=C1)C[C@H]2COC(=O)[C@@H]2CC3=CC4=C(C=C3)OCO4)OC
(-)-Lariciresinol,COC1=C(C=CC(=C1)C[C@@H]2CO[C@H]([C@@H]2CO)C3=CC(=C(C=C3)O)OC)O
(-)-Licarin A,C/C=C/C1=CC2=C(C(=C1)OC)O[C@H]([C@@H]2C)C3=CC(=C(C=C3)O)OC
(-)-Lirioresinol B,COC1=CC(=CC(=C1O)OC)[C@H]2[C@@H]3CO[C@H]([C@@H]3CO2)C4=CC(=C(C(=C4)OC)O)OC
(-)-Loliolide,C[C@@]12C[C@H](CC(C1=CC(=O)O2)(C)C)O
(-)-Maackiain,Oc1ccc2[C@@H]3Oc4cc5OCOc5cc4[C@@H]3COc2c1
(-)-Matairesinol,COc1cc(C[C@H]2COC(=O)[C@@H]2Cc3ccc(O)c(OC)c3)ccc1O
(-)-Medicarpin,COc1ccc2[C@@H]3COc4cc(O)ccc4[C@@H]3Oc2c1
(-)-Methylephedrine,C[C@@H]([C@@H](C1=CC=CC=C1)O)N(C)C
(-)-Minovincinine,C[C@H]([C@@]12CCCN3[C@@H]1[C@@]4(CC3)C5=CC=CC=C5NC4=C(C2)C(=O)OC)O
(-)-N-Methylcoclaurine,CN1CCC2=CC(=C(C=C2[C@H]1CC3=CC=C(C=C3)O)O)OC
(-)-N-Methylcytisine,CN1C[C@@H]2C[C@H](C1)C3=CC=CC(=O)N3C2
(-)-Norephedrine,C[C@H](N)[C@H](O)c1ccccc1
(-)-Norpleiomutine,CCC12CCCN3C1C4=C(CC3)C5=CC=CC=C5N4C(C2)C6=CC7=C(C=C6)NC89C71CCN2C1C(CCC2)(CC8)CC9C(=O)OC
(-)-Norpseudoephedrine,C[C@H]([C@@H](C1=CC=CC=C1)O)N
(-)-Oblongine,C[N+]1(CCC2=C(C1CC3=CC=C(C=C3)O)C(=C(C=C2)OC)O)C
(-)-Olivil,COc1cc(CC2(O)COC(C2CO)c3ccc(O)c(OC)c3)ccc1O
"(-)-p-Menth-1-ene-7,8-diol",CC(C)(O)C1CCC(=CC1)CO
(-)-Pelletierine,CC(=O)C[C@H]1CCCCN1
(-)-Phytuberin,CC(=O)OC(C)(C)C1CCC2(COC3(C2(C1)OC=C3)C)C
(-)-Pinocampheol,C[C@@H]1[C@@H]2C[C@@H](C2(C)C)C[C@H]1O
(-)-Pinoresinol,COC1=C(C=CC(=C1)[C@H]2[C@@H]3CO[C@H]([C@@H]3CO2)C4=CC(=C(C=C4)O)OC)O
(-)-Podorhizol,COC1=CC(=CC(=C1OC)OC)[C@H](C2[C@H](COC2=O)CC3=CC4=C(C=C3)OCO4)O
(-)-R-Linalool,CC(=CCC[C@@](C)(C=C)O)C
(-)-Repandine,CN1CCC2=CC(=C(C3=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@H]6C7=CC(=C(C=C7CCN6C)OC)O3)O)OC)OC
(-)-Secoisolariciresinol,COc1cc(C[C@@H](CO)[C@H](CO)Cc2ccc(O)c(OC)c2)ccc1O
(-)-Semiglabrin,CC(=O)O[C@@H]1[C@@H]2[C@@H](OC3=C2C4=C(C=C3)C(=O)C=C(O4)C5=CC=CC=C5)OC1(C)C
(-)-Sesamin,C1Oc2ccc(cc2O1)[C@@H]3OC[C@@H]4[C@H]3CO[C@H]4c5ccc6OCOc6c5
(-)-Spectaline,C[C@@H]1[C@@H](CC[C@@H](N1)CCCCCCCCCCCCC(=O)C)O
(-)-Temuconine,CN1CCC2=CC(=C(C=C2[C@@H]1CC3=CC=C(C=C3)OC4=C(C=CC(=C4)C[C@@H]5C6=CC(=C(C=C6CCN5C)OC)OC)O)O)OC
(-)-Trachelogenin,COc1cc(C[C@]2(O)[C@H](COC2=O)Cc3ccc(OC)c(OC)c3)ccc1O
(-)-Variabilin,COc1ccc2[C@H]3Oc4cc(OC)ccc4[C@@]3(O)COc2c1
(-)-Viburnitol,O[C@@H]1C[C@@H](O)[C@H](O)C(O)[C@@H]1O
(-)-Vincamajine,C/C=C\1/CN2[C@H]3CC45[C@@H](C2CC1C3([C@H]4O)C(=O)OC)N(C6=CC=CC=C56)C
(-)-Xylopine,COC1=CC2=C(C=C1)C3=C4[C@@H](C2)NCCC4=CC5=C3OCO5
(-)-Zingiberene,CC(CCC=C(C)C)C1CC=C(C)C=C1
(11S)-Jalapinolic acid,CCCCC[C@H](O)CCCCCCCCCC(O)=O
"(1R,2R,4R,5S)-(+)-p-Menthane-2,5-diol",CC(C)[C@H]1C[C@@H](O)[C@H](C)C[C@@H]1O
"(1S,4R)-(+)-Isodihydrocarvone",C[C@H]1CC[C@H](CC1=O)C(=C)C
"(2-exo,3-endo)-2,3-dimethyl-Bicyclo[2.2.1]heptan-2-ol",CC1C2CCC(C2)C1(C)O
"(20S,22R)-5beta,6beta-Epoxy-4beta,14beta,15alpha-trihydroxy-1-oxowith-2,24-dienolide",C[C@H]([C@H]1CC(=C(C)C(=O)O1)C)[C@H]2C[C@H](O)[C@]3(O)[C@@H]4C[C@H]5O[C@]56[C@@H](O)C=CC(=O)[C@]6(C)C4CC[C@]23C
"(22E,24S)-Stigmasta-5,22-dien-3beta,7alpha-diol",CC[C@H](\C=C\[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C
"(2E,6S)-Dimethyl-2,7-octadiene-1,6-diol",CC(C)(O)\C=C\CC[C@H](O)C=C
